Notetype,NoteTemplate,counts
Progress Note,DCHD STD VISIT,267
Progress Note,PCM note for Cure MD,267
Progress Note,CH-Well Child 7-8yrs.,266
Progress Note,Cough,263
Progress Note,ASTHMA PROGRAM-NATALIE WIGGINS,262
Family Planning,Pill Pick Up Visit,262
Progress Note,FP Annual/New Exam,260
Mat Health Education,Maternal Health Education,260
Progress Note,CD - TB Monthly Flow Sheet,259
Progress Note,AH Colposcopy/LEEP,258
Admin Note,Nurse Triage,255
Admit Note,STD Template,252
Admit Note,ZZZBCCCP/WW Data,251
FP History ,ZZZFP 4060F - Female Health Hx,251
Progress Note,CO - C-19 Mod Vaccine Bivalent,251
Progress Note,BH Initial Assessment,251
Nexplanon,FP Nexplanon Placement- LCHD,250
Progress Note,Drug Screen,250
Progress Note,TB Screening Form ,249
General Note,Barton General Nurse Note,249
Admit Note,CH-Sports Physical,249
Admit Note,AH Flow Sheet,248
Progress Note,Sports/Work Physical,248
Progress Note,IUD Removal,248
Progress Note,ZBF Well Child 2 to 5 Days,248
Progress Note,BCCCP Physical Exam,248
Progress Note,STD - Encounter Form - Revised,247
Child Health,BF-Well Child 7-8yrs.,247
Progress Note,ZBF-Well Child 2 Month -NEW,247
Progress Note,CH-Well Child 4yrs.,247
Progress Note,CC - Hospital Visit,247
Progress Note,BCCCP State Follow-Up,246
Progress Note,FP.IUD Insertion.HCDPH,246
History,CH - Initial History,246
Admit Note,Out Patient Lab Note,246
Admit Note,DCHD - Record of TB Screening ,245
Progress Note,ZBF 12 Month Visit -NEW,245
Progress Note,CHPE 12 Months,244
Progress Note,APC-WELL WOMAN EXAM,241
Child Health,BF-Well Child 9-10yrs.,240
Progress Note,Outreach - Hepatitis/HIV/RPR,239
Progress Note,Consultation Note 1,238
FP History ,FP 4060F Female Health Hx NCHD,237
FP History ,FP,235
Progress Note,CH-Well Child 9-10yrs.,235
Progress Note,BCCCP  P4 Breast Cancer,234
Newborn Home Visit,Home Visit - Newborn,234
Progress Note,Lice Assessment and Treatment,234
Admit Note,BCCCP Eligibility/Consent Form,232
History,CH Initial History-NEW,230
FP History ,ZZZ - FP - Female Hx - 4060F,229
Postpartum Home Visit,Home Visit - Postnatal,227
Progress Note,FP - IUD Removal,227
Progress Note,FP Female Problem Visit,226
Progress Note,TB Nurse Note,224
Progress Note,ZBF Well Child 6 months NEW,224
BCCCP Note,BCCCP VISIT,224
Progress Note,ZBF-Well Child 4yrs.,223
Progress Note,BF Well Child 7-8 Year,223
Progress Note,Medical Nutrition Therapy,223
Progress Note,Hypertension,222
VLab Report ,ABI,222
Progress Note,ZBF Well Child 2 years NEW,220
Progress Note,Weight Re-Check,220
Admit Note,ST-Treatment,220
Progress Note,SCHD TB Screening Form,218
Progress Note,TST RESULTS NOTE,218
NonPhysician Visit,Non-Physician Visit,217
Progress Note,Child Sick/recheck Visit NCHD,214
Progress Note,Titers,213
BCCCP,Nurses Note,208
Progress Note,ZBF Well Child 4 Month- New,208
Child Health,BF-Well Child 3 years,207
General Note,WASH - Refill Request Note,207
Consultation Report,Telemedicine,205
Progress Note,WiseWoman,205
Speech Assessment,SLP Assessment - General,204
MH Intake,ACOG MH Intake,204
Encounter Note,LCHD Immunization Note,204
Admit Note,Family Planning Treatment Note,202
Progress Note,BF - Well Child 2 Month,201
H&P Note,Sick Visit,201
Progress Note,SCHD Home Visit - Postnatal,200
Progress Note,CD - TB Epi Record,200
Progress Note,WW Health Coaching Note 2019,199
Progress Note,AH-Annual Exam - WCHD,199
Child Health,BF-Well Child 2 years,199
Progress Note,BF Well Child 9-10 Year,197
Progress Note,Hepatitis C Initial Visit,196
Progress Note,TytoCare Primary Care Note,196
Progress Note,SCHD Home Visit - Newborn,195
Progress Note,ZBF 9 Month Visit -NEW,195
Progress Note,Pill Pick Up,195
Progress Note,STI Treatment Only,194
Progress Note,AH-Well Male Exam,194
Admit Note,Injection note,193
Progress Note,TB Flow Sheet- CCHD,193
Progress Note,FP - Pregnancy Test - WCHD,193
Progress Note,BF Well Child 15-21yrs,191
Progress Note,TB Medications,191
ST Eval,STD Encounter - Form 2808,189
Progress Note,z-MH New Admission Parts A-D,189
Progress Note,SCHD CH BF  Problem Visit Form,188
Progress Note,Back Pain,188
Colposcopy,Colposcopy,188
Progress Note,MNT Nutrition Assessment ,187
Progress Note,CH-Well Child 2 years,187
Phone Encounter,Care Gap,187
Progress Note,TB Record of Screening,187
Progress Note,ZBF 1 Month Visit - NEW,187
FP Supply or Problem,FP Problem Visit,187
Progress Note,CH-Well Child 3 years,186
Progress Note,LAB RESULTS,185
Admit Note,NewPN-Nurse,185
Progress Note,SCHD IUD Check,184
Progress Note,General Clinic misc,183
Progress Note,CC - Progress Note,183
H&P Note,Maternal Flow,182
Progress Note,TB General Visit,182
Pregnancy Test Form,CCHD FP-Pregnancy Test 4140,182
Admit Note,APC-WELL MALE EXAM-NEW,182
Progress Note,MH Flow Note - HC,182
Admin Note,CD Admin Note,182
Triage Note,Telephone Triage,182
Progress Note,BCCCP Breast Cancer 2018,181
MH Intake,MH-GDM -NURSE.HCDPH,180
Initial Evaluation,Psych Eval Dr. Darcy Alexander,180
VLab Report ,Aorta Duplex EVAR,180
Admit Note,POSTPARTUM VISIT,179
Progress Note,ZBF-Well Child 2 years,179
Admit Note,AH-Pregnancy Test Form,178
Progress Note,CHPE 15 Months,178
Progress Note,ZBF Well Child 18 months NEW,178
Progress Note,ZBF-Well Child 3 years,178
Progress Note,Maternity-Return Prenatal,176
TB EPI RECORD,TB Epi Record,176
Progress Note,BF-Well Child 11-14yrs -WCHD,176
H&P Note,PPD,175
Progress Note,Annual Wellness Exam,174
Admit Note,CO-C-19 Pfizer Vacc. Bivalent,173
Admit Note,HCM Procedure Note,172
Admit Note,NewPN-Provider,172
VLab Report ,Bilat Lwr Extrm Arterial Duplx,171
Progress Note,WASH - Nurse Visit Note,170
Progress Note,BCCCP Cervical Cancer 2019,169
Progress Note,MedSouth,169
MH Intake,ACOG- New Maternity SCHD,169
Nexplanon,FP Nexplanon Removal- LCHD,169
Lab Results,Test Results- LCHD,169
Intake Note,Psych- Intake Note,168
Progress Note,Z PREGNANCY TEST VISIT. HCDPH,168
Progress Note,CH-Well Child 12 Months,167
Progress Note,DCHD FP LIMITED/METHOD/PROBLEM,167
MH  Education,MH - Maternal Health Education,166
Progress Note,"zzGen, TB, PPD Qs/Admin",166
Progress Note,BF-Well Child 11-14 yrs RPM,165
H&P Note,FLU Administration Note,165
Admit Note,CDL Physical,165
Progress Note,z-MH Initial Provider PE.HCDPH,165
Nerve Conduction Study,EMG - UE,163
Progress Note,Health Risk Assessment - WCHD,163
Child Health,BF-Well Child 12 Months,162
Admit Note,TB Epi Record,162
Progress Note,ZBF - WCC 6 Month,162
Phone Encounter,LCHD Phone Encounter,161
Nurse Progress Note,Immunization Note,161
Progress Note,BF - WCC 15-17yr Visit,160
Psychology,PPN OutPatient Dr. Alexander,160
MH LABS,MH LAB DATA NCHD,159
Progress Note,TB Risk Assessment,159
Progress Note,Nurse New OB-WCHD,158
Progress Note,FP.Implant Insertion.HCDPH,158
Progress Note,MH - Immunization Only,158
TB SKIN TEST GIVEN,TB Skin Test  NCHD,157
Progress Note,BF - WCC 5 year Visit,157
Progress Note,Barton TB Skin Test Reading,157
Progress Note,B12 injection-Nurse only,157
Progress Note,CD Encounter -HCDPH,156
Progress Note,ZBF - WCC 4 Month,155
Progress Note,PC - Adult PE,155
Progress Note,ZBF - WCC 12 Month,155
Progress Note,FP - Pill Refill - WCHD,154
Flu vaccine,Flu Vaccine Note,154
Family Planning,FP - Nexplanon Insertion,154
VLab Report ,Bilat Lwr Extr Venous Insuffic,153
Progress Note,ZBF-Well Child 18 Months,153
Progress Note,AH-Well Women Exam,153
Progress Note,CRHS BCCCP Referral,152
Admit Note,zzPC Limited Note DO NOT USE,152
Admit Note,Gaffney Medical Patient,152
Diagnostic Test,Nuclear Exercise Test,152
Progress Note,FP NEXPLANON CHECK,151
Progress Note,CH-Well Child 6 Months,151
Progress Note,WISEWOMAN LP/HC,151
Progress Note,MNT RPM,151
Progress Note,DOT Physical Exam,150
Progress Note,Anxiety Follow Up,150
Maternal,Maternal - Initial,150
Progress Note,COLPOSCOPY PROCEDURE Visit,149
Progress Note,Kim - Note,149
Progress Note,WW Annual Screening Form 4049A,148
Progress Note,MH Nutritionist,148
Progress Note,DCHD TB SKIN PLACEMENT,147
Progress Note,FP - Emergency Contraception,147
BH Note,BH Progress Note - Peds,146
Progress Note,CH-Well Child 4 Months,146
Progress Note,CH - Well Child 2 Month,146
Progress Note,BCCCP Cervical Cancer 2020,145
Progress Note,BH Coaching,145
Admit Note,PPD Shortage Screening,145
Progress Note,RCPH Lab Only,144
Progress Note,BCCCP Visit SCHD,144
Progress Note,ZBF - Well Child 2 Month,144
Progress Note,ZBF 15 Month Visit -NEW,144
TB Epi 2,TB Epidemiological- Provider,144
Progress Note,BCCCP-Cervical Screen Data 23,144
Progress Note,BCHD STD VISIT,143
Progress Note,Barton TB Skin Test,142
Progress Note,BCCCP Data Forms,142
Progress Note,A Telemedicine Visit,142
Progress Note,BF Well Child 15-21yrs. ,142
Progress Note,BF - WCC 1wk Vst 3-5days,140
Device Note,Remote Check,140
Progress Note,BF - WCC 9-10 yr visit,139
CMS Programs,Chronic Care Management,139
BH Note,BH Progress Note - Adult,139
Admit Note,CH- School PE,139
Progress Note,FP-Pregnancy Test 4140 NCHD,139
Telephone encounter,DCHD RESULTS,138
Progress Note,ZBF - WCC 9 Month,138
Progress Note,BF Well Child 15-21yrs - WCHD,138
Admit Note,MH - 6 BTL Soap Note,137
Progress Note,BF-Well Child 5-6yrs.- WCHD,136
Progress Note,zzzCH-Well Child 4yrs.,135
BCCP,BCCCP,135
Progress Note,CH-Well Child 18 Months,135
VLab Report ,Iliac Duplex,135
Progress Note,ZBF - Well Child 2 to 5 Days,134
Progress Note,DCHD TB RESULTS NOTE,133
Progress Note,BCCCP Care Plan,133
Progress Note,BF-Well Child 4yrs RPM,133
Admit Note,BCCCP Flowsheet,133
Admit Note,IM Injection,132
Family Planning,FP - Nexplanon Removal,132
Progress Note,CD - TB Screening,132
Nerve Conduction Study,EMG - LE,132
Progress Note,Pregnancy Test Counseling SCHD,131
Progress Note,z-MH Initial HX Nurse.HCDPH,131
Progress Note,WASH - APC PC/Physical/Sick,130
Progress Note,UTI,130
TB,TB Flow Sheet,129
Progress Note,FP.Implant Removal.HCDPH,129
Adult Health,AH-Physical,128
BF NOTE,BF-Well Child 11-14yrs NCHD,128
Progress Note,FP General Clinic Flowsheet,127
Progress Note,BF - WCC 2 month visit,126
Progress Note,zzzCH-Well Child 7-8yrs.,126
Progress Note,FP Problem Visit,126
Progress Note,ZBF - Well Child 1 Month,126
Progress Note,Lead Note,126
Progress Note,LTBI Flow Sheet,126
Progress Note,URI,126
Progress Note,DCHD IMMUNIZATIONS TRACKING,125
Progress Note,ZBF-Well Child 15 Months,125
Progress Note,FP Follow Up Visit,124
Admit Note,TB Drug Record,124
Progress Note,TytoCare CH Sick Note,123
TB SKIN TEST READING,TB Skin Test Reading NCHD,123
Admit Note,Phone Encounter,123
Progress Note,CH-Well Child 9 Months,122
Progress Note,FP Combined Note,122
TB Epi,TB Epi Record Pt1,122
H&P Note,BF-Child Health History,122
Progress Note,PC - Pedi Interperiodic,121
Progress Note,BCCCP  P5 Cervical Cancer,121
Progress Note,BF - WCC 1 month visit,121
Progress Note,ZBF Well Child 2 1/2 years NEW,121
Psychology,PPN OutPatient Dr.O'Malley,121
Admit Note,17P INJECTION,121
Progress Note,FP 4060F - Female New Note,120
Progress Note,APC - Sick Visit Note BCHD,119
Admit Note,Psychiatric Evaluation,119
Progress Note,BF - WCC 4 year Visit,119
Progress Note,TB Epi Record OLD,119
Combination Services,Immunization Note,118
Speech Therapy,SOAP MedSLP,118
Progress Note,Prescription Refill,117
Admit Note,SCHD General Visit,117
FP History ,zzzzFamily Planning Physical,116
Progress Note,BF-Well Child 9-10yrs. - WCHD,116
Progress Note,WW Health Coaching Note 2020,116
VLab Report ,Rgt Lwr Extrem Arterial Duplex,116
Progress Note,FP IUD Insertion,116
Progress Note,BF - WCC 4 month Visit,116
Phone Encounter,Lab Results Call,116
Progress Note,BF Well Child 4 Year,115
VLab Report ,Left Lwr Extre Arterial Duplex,115
Progress Note,Pharmacy/Result Encounter,115
TB Epi 1,TB Epidemiological- Nurse,114
Progress Note,BF - WCC 12 month visit,114
Progress Note,BF Well Child 5 Year,113
Progress Note,LB Individual Therapy,113
Progress Note,BF - WCC 6 Month Visit,113
Progress Note,DCHD FP IV/CP,112
Progress Note,Lice Checklist SCHD,111
Progress Note,CD - TB DOT,111
Progress Note,Pertussis Surveillance - DCHD,111
Child Health,BF-Well Child 18 Months,110
Admit Note,Covid Antibody Test,110
Admission Note,COVID Administration Note,109
Progress Note,BCCCP Visit WCHD,109
Admit Note,zzz BCCCP  Screening Form 18,109
Progress Note,BIVALENT COVID VACCINE NOTE,109
Progress Note,BF - WCC 2 year Visit,109
VLab Report ,Left Lwr Extrem Bypass Graft,108
Admit Note,Telepsych Note,108
Progress Note,Allergy Note,108
VLab Report ,Rgt Lwr Extrem Bypass Graft ,107
Progress Note,Colpo,107
Combination Services,TB Skin Test,107
Phone Encounter,Letter to Referring Provider,107
Progress Note,BF - WCC 9 month visit,106
Phone Encounter,BH Phone Note,106
Progress Note,BF - Well Child 1 Month,105
Progress Note,Adult Health Exam,105
Progress Note,BF Well Child 3 Year,105
Telehealth,Telemed APC - Sick/Physical,104
MH Exam,MH Initial Physical Exam NCHD,104
Phone Encounter,Phone Encounter Dr.Malik,103
Child Health,BF - Well Child 6 Months,103
Family Planning,FP - IUD Insertion,103
Admit Note,SCHD Primary Care 2022,103
Progress Note,Post Partum F/U Care Visit,103
Progress Note,TB EPI RECORD,103
Progress Note,MESH FQHC,103
Progress Note,Rash,102
Progress Note,FP - Nexplanon Removal,102
Progress Note,CO - C-19 Mod Vaccine-3RD Dose,102
MD Progress,FN Outpatient Dr. Kasuganti,102
Progress Note,CVS Visit Note,102
Progress Note,Pregnancy Test,101
Progress Note,BF - WCC 3 year Visit,100
Progress Note,CHPE 3 to 5 days Newborn,100
Progress Note,Telehealth Visit,100
Progress Note,TB PPD Screening Note,99
Progress Note,DCHD Telephone Encounter,99
Progress Note,CH -Child Health Questionnaire,99
SICK CHILD,Child Sick/recheck Visit NCHD,98
Progress Note,Depo Only Visit,98
Progress Note,BF - WCC 18 month visit,98
Progress Note,zzzCH-Well Child 9-10yrs.,98
Progress Note,Colposcopy Form,98
Progress Note,Maternity ACOG RECORD MCHD,98
Progress Note,Psych- Feedback Note,98
Progress Note,BF Well Child 5-6 Year,97
Admit Note,APC-SICK,97
Nurse Visit,Nurse Visit,97
Progress Note,TB Screening,97
Progress Note,BF-Well Child 2 1/2 years,96
VLab Report ,Left Lwr Extrem Venous Insuffi,96
VLab Report ,Left Lwr Extrem Venous Duplex,95
Progress Note,ADHD Counseling F/UVisit.HCDPH,95
MH Labs,MH Labs- LCHD,95
Child Health,BF - Well Child 2 Month,95
Progress Note,WISEWOMAN Screening,95
Progress Note,TB Monthly Flow Sheet ,94
Progress Note,TB Monthly LTBI Med Pickups,94
TB Epidemiology Record,TB Epidemiological Record Pt 2,94
Progress Note,Maternity-New Prenatal/Nurse,94
Progress Note,FP-Nexplanon Insertion,94
MH Initial Physical,MH Initial Physical Exam- LCHD,94
Progress Note,DM HNT HLP,94
Progress Note,BF-Well Child 7-8yrs.- WCHD,93
Progress Note,MAT-New Maternity NCHD,92
Progress Note,MH-Medication Encounter.HCDPH,92
Progress Note,BF - WCC 6 Year Visit,92
BF NOTE,BF-Well Child 5-6yrs. NCHD,91
Progress Note,Barton TytoCare Note,91
H&P Note,'23 SHC New Pt N'pathy w/ Exm,91
Progress Note,SCHD IUD Removal,91
Progress Note,BF - WCC 15 month visit,91
Progress Note,Lab Results Follow up,91
Progress Note,AH Clinic Note,91
Child Health,BF-Well Child 4 Months,91
Progress Note,WW Annual Screening 4049A 2019,90
Progress Note,BF Well Child 2 Year,90
Progress Note,BH Case Staffing,90
VLab Report ,Bilateral Lwr Extr Bypas Graft,89
VLab Report ,Rgt Lwr Extrem Venous Duplex ,89
Admit Note,BCCCP Patient Assessment and C,89
Child Health,BF-Well Child 9 Months,89
Admit Note,TB SCREENING-STATE SHORTAGE,89
Progress Note,MH-17 P Injection Note,88
Progress Note,PC - NonProvider Visit,87
Progress Note,Nutrition Follow Up,87
Progress Note,OAS - HIV Testing Only,87
Progress Note,BF-Well Child 7-8 yrs RPM,87
Progress Note,RCPH Lab Results,87
Progress Note,SCHD IUD Insertion,86
Progress Note,MH 17P Administration Note,86
Progress Note,Phone Encounter - WCHD,86
Admit Note,BF 2022 WCC 11-14 YEARS,85
Admit Note,SCHD COVID Testing Note,85
Progress Note,Initial TB Mediation Visit,85
Progress Note,BF-Well Child 9-10 yrs RPM,85
Admit Note,BCCCP 2019 Breast Screening,84
Progress Note,BF-Well Child 4yrs.- WCHD,84
STD TREATMENT,STD Treatment Encounter,84
Progress Note,Knee Pain,84
Progress Note,COVID-19 Immunization Note,84
VLab Report ,Rgt Lwr Extre Venous Insuffic,83
Phone Encounter,SCHD Phone Encounter,83
Progress Note,ZZZ BCCCP-Breast Screen Data,83
Progress Note,TB Short Flow,83
Child Health,BF-Well Child 15 Months,82
Progress Note,BCCCP WISEWOMAN Annual Exam,82
Progress Note,Nexplanon Insertion RPM,81
VLab Report ,AVF Mapping,80
Progress Note,BCCCP-Breast Screen Data SCHD,79
Progress Note,Nexplanon Removal SCHD,78
Progress Note,PC - MAT Nonprovider Visit,78
Progress Note,Ear Pain,78
Progress Note,CH - Problem/Follow-up Visit,78
Progress Note,HIV Lab Only,77
Progress Note,PC - CoCM Follow Up,77
Progress Note,Sore Throat,77
Progress Note,BF Well Child 12 Months,76
Progress Note,Nexplanon Insertion SCHD,76
Admit Note,Jessica- New Patient Visit,76
Progress Note,FP Female Flow MCHD 2020,76
Progress Note,BF Well Child 4 Month,76
Progress Note,Prenatal MNT RPM,75
CH History,CH Initial Hx Questionnaire,75
Progress Note,Emergency Contraception - HC,75
Progress Note,BF-Well Child 2 years - WCHD,75
MH Education,MH Education NCHD,74
Progress Note,BF - WCC 7 year Visit,74
Progress Note,Follow-Up 1,74
Phone Encounter,Phone Triage GVPH,73
Progress Note,TB Reading,73
Progress Note,Mental Health Injections,73
Progress Note,Blank Note,73
Progress Note,Tuberculosis Test/ Result,72
Encounter Note,LCHD PPD Skin Test Note,72
Progress Note,ZBF Well Child 12 Months.HCDPH,71
Encounter Note,LCHD STD Visit,71
TB Template,TB Epi F/U Pt2,71
Progress Note,Peds SPE / Dental,71
Surgical Note,ASA Patient Progress Note,71
Progress Note,STD Treatment - Chlam/Gono,71
Progress Note,FP- Emergency Contraception,70
Progress Note,BF - Well Child 02 to 05 Days,70
Progress Note,Abdominal Bloating/Pain,70
BF NOTE,BF Well Child 15-21yrs NCHD,69
Child Health,BF - Well Child 1 Month,69
Lab Note,AFP Only,69
Progress Note,FP Nexplanon Insertion,68
Progress Note,TB Epi Record Page 1-DHHS 1030,68
Progress Note,BCCCP/Pap/Breast Med Hx PENCHD,68
Phone Encounter,Delivery Notification,68
Admit Note,Immunization and PPD,68
Progress Note,Immunization-Outreach,68
Progress Note,Covid Vaccine,68
Progress Note,FP Treatment/PE Completion,68
Progress Note,Well Woman,67
Progress Note,FP Postpartum Exam,67
Admit Note,RECORD OF TB SCREENING,67
Admit Note,COVID-19 Vaccine,67
Progress Note,CH-Well Child 15 Months,67
Progress Note,BCCCP Cervical Cancer 2018,67
Progress Note,FP-EC Nurse Treatment Only,67
CMARC Referral,CMARC Referral,66
Provider Progress Note,ST Provider Visit,66
Progress Note,OS - Head Check,66
Progress Note,BF Well Child 6 Month,66
Progress Note,Peds BH Note,65
Progress Note,Maternity-Initial PE/Provider,65
Progress Note,zzzCH-Well Child 3 years,65
Progress Note,BF-Well Child 15-21yrsRPM,65
Admit Note,SCHD NewPN-Provider,65
MH RTC Return Client,ACOG RECORD,65
Admit Note,Colpo,65
Progress Note,BF-Child Health History,65
Progress Note,BF Well Child 3-5 Days,65
TB Epidemiology Record,TB Epidemiological Record Pt 1,64
Hepatitis C,Hepatitis C Treatment.,64
Progress Note,BF-Well Child 3 years - WCHD,64
Progress Note,Sinusitis Acute,64
Progress Note,FP Pill Pick Up,64
Progress Note,BF Well Child 18 Months,64
Encounter Note,LCHD PPD Read Note,64
Progress Note,BCCCP-Screening Data,63
Prostate Screening Form NCHD,Prostate Screening Form NCHD,63
MH RTC New Client,ACOG RECORD,63
Lice Check,Lice Check,62
Admit Note,SCHD NewPN-Nurse,62
Progress Note,BF Well Child 1 Month,62
Progress Note,HIV ST Pre Test Counseling,62
Progress Note,WISEWOMAN Data Forms,62
Progress Note,SCHD BF Well Child 5-6yrs.,61
Progress Note,BF-Well Child 3 yrs RPM,61
VLab Report ,Upper Extremity Vein Mapping,61
Progress Note,PC - Procedure,61
Progress Note,COVIDResult,61
Progress Note,Group B Strep Follow Up,60
H&P Note,Peripheral Angio Provider Note,60
Phone Encounter,ED Follow-up Phone Encounter,60
Progress Note,FP-Nexplanon Removal,60
Progress Note,PC - Newborn Exam,59
Progress Note,BF Well Child 9 Month,59
Initial Evaluation,PT Eval New 2020,59
TB Screening,TB Record of Screening- LCHD,59
Progress Note,Viral Hepatitis EPI Record,58
MD Progress,FRP MED Daily Progress Note,58
Progress Note,DCHD PREGNANCY TEST,58
Phone Encounter,Clinic Support Missed Appt,58
Progress Note,Shoulder Pain,58
Progress Note,WASH - Immunization Note,58
Progress Note,BF - Well Child 7-8 Year NEW,58
H&P Note,Annual Physical Exam,57
Progress Note,FP IUD CHECK,57
Progress Note,MOUD Follow up,57
Progress Note,CH - Bright Futures Prob Visit,57
Progress Note,Nexplanon Insertion NCHD,56
VLab Report ,Renal Duplex,56
Other,DCHD GENERAL HV NOTE,55
Progress Note,RECORD OF TB SCREEN Do not use,55
Progress Note,FP Nexplanon Removal,55
Progress Note,BF-Well Child 18 Months - WCHD,55
Progress Note,BF - WCC 8 yr visit,55
Progress Note,BF-Well Child 12 Months - WCHD,55
MH Intake,CCHD PN Nurse Intake and US,55
Progress Note,BCCCP-Cervical Screen Data SCH,54
Paragard,FP Paragard IUD Insert- LCHD,54
CC4C Referral,CMARC Referral,54
Well Child,Well Exam 15-16 Year Exam,54
Progress Note,BF - Well Child 5 Year NEW,54
Progress Note,FP Emergency Contraception,53
Progress Note,HWC - Initial Form,53
Progress Note,MH- 17 P  RPM,53
Progress Note,CH - Well Child 1 Month,53
Progress Note,FP-IUD Insertion,53
BF NOTE,BF-Well Child 9-10yrs. NCHD,52
Progress Note,MH Problem,52
Progress Note,Law Enforcement Physical,52
Progress Note,Dizziness,52
MH Labs,MH Glucose Testing,51
Progress Note,IUD Check SCHD,51
Admit Note,Annual Wellness Visit,51
Progress Note,HWC - Follow up Form,51
Progress Note,AWV visit w/Health Coach,51
Initial Evaluation,Psych Eval Dr. O'Malley,51
Admit Note,BF 2022 WCC 15-17 YEARS,51
Progress Note,ZZZSCHDTBSkinTestVisit,50
Progress Note,Pregnancy Test Visit,50
Progress Note,Leg Pain,50
Progress Note,WI - Lab Only,50
Admit Note,LCSW HR Mat Psych Dis Sum,49
BF NOTE,BF-Well Child 4yrs. NCHD,49
Progress Note,SCHD BF Well Child 11-14yrs,49
Progress Note,BF Well Child 15 Months,49
AH Hx,AH Clinic Hx,49
Progress Note,BF - Well Child 2 to 5 Days,49
Phone Encounter,Case Management,49
Off-Service Note,Nursing Note,48
Progress Note,Missed Appointment,48
Progress Note,BF-Well Child 4yrs. ,48
Progress Note,BF-Well Child 6 Months - WCHD,48
Progress Note,TB Epi Record Page 2-DHHS 1030,48
Progress Note,BF-Well Child 9 Months - WCHD,48
Progress Note,TB Shortage Screening Form,48
FP History ,zzFP Fem Health Hx 4060F,48
H&P Note,APC-Well Women Exam,48
Progress Note,FC LESI,47
Progress Note,BF - Well Child 9-10 Year NEW,47
TB,TB Epi Record Pt1,47
Progress Note,TB Risk Questionnaire SCHD,47
Well Child Check,CH Physical 11-14 Years Old,47
Progress Note,BCHD STD TREATMENT NOTE,46
Progress Note,FP PE Completion,46
Surgical Note,Surgeon History and Physical,46
Progress Note,Nexplanon Removal/Insertion,46
Progress Note,CH Rpt. Vision and/or Hearing,46
Progress Note,Annual Physical Exam,46
Progress Note,BF Wll Child 15-21yrs.,46
Progress Note,RCPH FP-Pregnancy Test 4140,46
Progress Note,ADHD Follow up,45
AH Hx,AH Hx  School/Work,45
Progress Note,CH - Dental Varnish,45
Provider Progress Note,FP Provider Visit,45
Progress Note,IUD Insertion SCHD,45
Progress Note,TB Screening Form NCHD,45
General Note,WASH - General Nurse Note,45
Progress Note,Physical Completion,45
Progress Note,PC - CoCM Initial,44
Progress Note,IPPE,44
Progress Note,BH Screening Documentation,44
Phone Encounter,Psych-Contact Note,44
Well Child,Well Exam 13-14 Year Exam,44
Progress Note,BF-Well Child 15 Months - WCHD,44
Admit Note,FP-DEPO,43
Progress Note,AH-Follow Up Visit,43
Progress Note,BF Well Child 2 Month,43
Progress Note,WW Annual Screening 4050B 2019,43
Progress Note,AH - Problem/Follow Up - WCHD,43
Progress Note,z-CCNC Pregnancy Home Risk ,43
Progress Note,BF - Well Child 2 Month - WCHD,43
Admit Note,BCCCP Breast Cancer 2019,43
mat,Phone Encounter,42
Progress Note,DCHD STD TREATMENT/FOLLOW-UP,42
Progress Note,TB Epi F/U Pt2,42
Progress Note,FP Male PE Sheet,42
Progress Note,BF-Well Child 4 Months - WCHD,42
17P,17-P Only Visit,42
Progress Note,BCCCP Case Mgt/Needs Assmt,42
Admit Note,iPsychiatric/Therapy Prog note,42
Family Planning,FP Nexplanon Removal/Insertion,41
Progress Note,ZZWW Post LSP/HC F/U 4050B,41
TB Notes,TB Observed Therapy,41
Progress Note,FP Limited Visit MCHD 2020,41
Child Health,CH - Problem Visit,41
Admit Note,Emergency Contraception Visit,41
Progress Note,BH - Limited Nurse Note,41
Progress Note,COVID Testing,41
Progress Note,Tuberculosis Screening,41
CMS Programs,CCM Billing,41
Progress Note,Prescription,40
Progress Note,REPAP,40
Progress Note,Community Based Testing,40
Maternity Visit,MH - 3 Ultrasound,40
Progress Note,SCHD BF Well Child 7-8yrs.,40
Child Health,BF - Well Child 3 to 5 Days,40
Admit Note,Diabetes Note,40
Progress Note,zzAdult Physical Note,40
Well Child,Well Child 9-10 Year Exam,39
H&P Note,Pregnancy Test Note,39
Progress Note,BH Psychiatry Follow-up,39
Initial Medical,Med Eval  Dr. Carlton,39
Progress Note,MAT Follow Up,39
Progress Note,SCHD BF Well Child 15-21yrs.,39
Progress Note,IUD String Check,39
BF NOTE,BF-Well Child 7-8yrs. NCHD,39
Progress Note,Sports Physical,39
Consultation Report,Phone Encounter,39
Narcan Training and Dispensing,Narcan Training and Dispensing,39
Consultation Report,PC - CoCM Case Review,38
Progress Note,Nexplanon Check,38
Primary Care,CC-OMH Return Visit,38
Procedure Note,BF Well Child 6 Years,38
Admit Note,zzzBCCCP Cervical Screening 18,38
Child Health,CH-BF Well Child 11-14yrs LCHD,38
Progress Note,CD - STD Test Results -HBsAb,38
Admit Note,BF 2022 WCC 9-10 YEARS,37
Admit Note,Nexplanon Removal RPM,37
Progress Note,PPNB Home Visit - Postnatal,37
Progress Note,PPNB Home Visit - Newborn,37
Progress Note,APC HEENT Complaint,37
Liletta IUD Insertion,FP Liletta IUD Insertion-LCHD,37
Progress Note,Nexplanon Removal NCHD,37
Well Child,Well Exam 11-12 Year Exam,36
General Note,zCOVID Administration Note,36
Progress Note,Hip Pain,36
