Notetype,NoteTemplate,counts,Percentage,Cumulative Percentage,
Progress Note,CHPE 12 Months,244,0.012632597,95.87623368,
Progress Note,APC-WELL WOMAN EXAM,241,0.012477278,95.88871096,
Child Health,BF-Well Child 9-10yrs.,240,0.012425505,95.90113647,
Progress Note,Outreach - Hepatitis/HIV/RPR,239,0.012373732,95.9135102,
Progress Note,Consultation Note 1,238,0.012321959,95.92583216,
FP History ,FP 4060F Female Health Hx NCHD,237,0.012270186,95.93810235,
FP History ,FP,235,0.012166641,95.95026899,
Progress Note,CH-Well Child 9-10yrs.,235,0.012166641,95.96243563,
Progress Note,BCCCP  P4 Breast Cancer,234,0.012114868,95.97455049,
Newborn Home Visit,Home Visit - Newborn,234,0.012114868,95.98666536,
Progress Note,Lice Assessment and Treatment,234,0.012114868,95.99878023,
Admit Note,BCCCP Eligibility/Consent Form,232,0.012011322,96.01079155,
History,CH Initial History-NEW,230,0.011907776,96.02269933,
FP History ,ZZZ - FP - Female Hx - 4060F,229,0.011856003,96.03455533,
Postpartum Home Visit,Home Visit - Postnatal,227,0.011752457,96.04630779,
Progress Note,FP - IUD Removal,227,0.011752457,96.05806024,
Progress Note,FP Female Problem Visit,226,0.011700684,96.06976093,
Progress Note,TB Nurse Note,224,0.011597138,96.08135807,
Progress Note,ZBF Well Child 6 months NEW,224,0.011597138,96.0929552,
BCCCP Note,BCCCP VISIT,224,0.011597138,96.10455234,
Progress Note,ZBF-Well Child 4yrs.,223,0.011545365,96.11609771,
Progress Note,BF Well Child 7-8 Year,223,0.011545365,96.12764307,
Progress Note,Medical Nutrition Therapy,223,0.011545365,96.13918844,
Progress Note,Hypertension,222,0.011493592,96.15068203,
VLab Report ,ABI,222,0.011493592,96.16217562,
Progress Note,ZBF Well Child 2 years NEW,220,0.011390046,96.17356567,
Progress Note,Weight Re-Check,220,0.011390046,96.18495572,
Admit Note,ST-Treatment,220,0.011390046,96.19634576,
Progress Note,SCHD TB Screening Form,218,0.011286501,96.20763226,
Progress Note,TST RESULTS NOTE,218,0.011286501,96.21891876,
NonPhysician Visit,Non-Physician Visit,217,0.011234728,96.23015349,
Progress Note,Child Sick/recheck Visit NCHD,214,0.011079409,96.2412329,
Progress Note,Titers,213,0.011027636,96.25226054,
BCCCP,Nurses Note,208,0.010768771,96.26302931,
Progress Note,ZBF Well Child 4 Month- New,208,0.010768771,96.27379808,
Child Health,BF-Well Child 3 years,207,0.010716998,96.28451508,
General Note,WASH - Refill Request Note,207,0.010716998,96.29523207,
Consultation Report,Telemedicine,205,0.010613452,96.30584553,
Progress Note,WiseWoman,205,0.010613452,96.31645898,
Speech Assessment,SLP Assessment - General,204,0.010561679,96.32702066,
MH Intake,ACOG MH Intake,204,0.010561679,96.33758234,
Encounter Note,LCHD Immunization Note,204,0.010561679,96.34814402,
Admit Note,Family Planning Treatment Note,202,0.010458134,96.35860215,
Progress Note,BF - Well Child 2 Month,201,0.010406361,96.36900851,
H&P Note,Sick Visit,201,0.010406361,96.37941487,
Progress Note,SCHD Home Visit - Postnatal,200,0.010354588,96.38976946,
Progress Note,CD - TB Epi Record,200,0.010354588,96.40012405,
Progress Note,WW Health Coaching Note 2019,199,0.010302815,96.41042686,
Progress Note,AH-Annual Exam - WCHD,199,0.010302815,96.42072968,
Child Health,BF-Well Child 2 years,199,0.010302815,96.43103249,
Progress Note,BF Well Child 9-10 Year,197,0.010199269,96.44123176,
Progress Note,Hepatitis C Initial Visit,196,0.010147496,96.45137926,
Progress Note,TytoCare Primary Care Note,196,0.010147496,96.46152675,
Progress Note,SCHD Home Visit - Newborn,195,0.010095723,96.47162248,
Progress Note,ZBF 9 Month Visit -NEW,195,0.010095723,96.4817182,
Progress Note,Pill Pick Up,195,0.010095723,96.49181392,
Progress Note,STI Treatment Only,194,0.01004395,96.50185787,
Progress Note,AH-Well Male Exam,194,0.01004395,96.51190182,
Admit Note,Injection note,193,0.009992177,96.521894,
Progress Note,TB Flow Sheet- CCHD,193,0.009992177,96.53188618,
Progress Note,FP - Pregnancy Test - WCHD,193,0.009992177,96.54187835,
Progress Note,BF Well Child 15-21yrs,191,0.009888631,96.55176698,
Progress Note,TB Medications,191,0.009888631,96.56165562,
ST Eval,STD Encounter - Form 2808,189,0.009785085,96.5714407,
Progress Note,z-MH New Admission Parts A-D,189,0.009785085,96.58122579,
Progress Note,SCHD CH BF  Problem Visit Form,188,0.009733312,96.5909591,
Progress Note,Back Pain,188,0.009733312,96.60069241,
Colposcopy,Colposcopy,188,0.009733312,96.61042572,
Progress Note,MNT Nutrition Assessment ,187,0.009681539,96.62010726,
Progress Note,CH-Well Child 2 years,187,0.009681539,96.6297888,
Phone Encounter,Care Gap,187,0.009681539,96.63947034,
Progress Note,TB Record of Screening,187,0.009681539,96.64915188,
Progress Note,ZBF 1 Month Visit - NEW,187,0.009681539,96.65883342,
FP Supply or Problem,FP Problem Visit,187,0.009681539,96.66851496,
Progress Note,CH-Well Child 3 years,186,0.009629767,96.67814473,
Progress Note,LAB RESULTS,185,0.009577994,96.68772272,
Admit Note,NewPN-Nurse,185,0.009577994,96.69730071,
Progress Note,SCHD IUD Check,184,0.009526221,96.70682693,
Progress Note,General Clinic misc,183,0.009474448,96.71630138,
Progress Note,CC - Progress Note,183,0.009474448,96.72577583,
H&P Note,Maternal Flow,182,0.009422675,96.73519851,
Progress Note,TB General Visit,182,0.009422675,96.74462118,
Pregnancy Test Form,CCHD FP-Pregnancy Test 4140,182,0.009422675,96.75404385,
Admit Note,APC-WELL MALE EXAM-NEW,182,0.009422675,96.76346653,
Progress Note,MH Flow Note - HC,182,0.009422675,96.7728892,
Admin Note,CD Admin Note,182,0.009422675,96.78231188,
Triage Note,Telephone Triage,182,0.009422675,96.79173455,
Progress Note,BCCCP Breast Cancer 2018,181,0.009370902,96.80110546,
MH Intake,MH-GDM -NURSE.HCDPH,180,0.009319129,96.81042458,
Initial Evaluation,Psych Eval Dr. Darcy Alexander,180,0.009319129,96.81974371,
VLab Report ,Aorta Duplex EVAR,180,0.009319129,96.82906284,
Admit Note,POSTPARTUM VISIT,179,0.009267356,96.8383302,
Progress Note,ZBF-Well Child 2 years,179,0.009267356,96.84759755,
Admit Note,AH-Pregnancy Test Form,178,0.009215583,96.85681314,
Progress Note,CHPE 15 Months,178,0.009215583,96.86602872,
Progress Note,ZBF Well Child 18 months NEW,178,0.009215583,96.8752443,
Progress Note,ZBF-Well Child 3 years,178,0.009215583,96.88445989,
Progress Note,Maternity-Return Prenatal,176,0.009112037,96.89357192,
TB EPI RECORD,TB Epi Record,176,0.009112037,96.90268396,
Progress Note,BF-Well Child 11-14yrs -WCHD,176,0.009112037,96.911796,
H&P Note,PPD,175,0.009060264,96.92085626,
Progress Note,Annual Wellness Exam,174,0.009008491,96.92986475,
Admit Note,CO-C-19 Pfizer Vacc. Bivalent,173,0.008956718,96.93882147,
Admit Note,HCM Procedure Note,172,0.008904945,96.94772642,
Admit Note,NewPN-Provider,172,0.008904945,96.95663136,
VLab Report ,Bilat Lwr Extrm Arterial Duplx,171,0.008853172,96.96548454,
Progress Note,WASH - Nurse Visit Note,170,0.0088014,96.97428593,
Progress Note,BCCCP Cervical Cancer 2019,169,0.008749627,96.98303556,
Progress Note,MedSouth,169,0.008749627,96.99178519,
MH Intake,ACOG- New Maternity SCHD,169,0.008749627,97.00053481,
Nexplanon,FP Nexplanon Removal- LCHD,169,0.008749627,97.00928444,
Lab Results,Test Results- LCHD,169,0.008749627,97.01803407,
Intake Note,Psych- Intake Note,168,0.008697854,97.02673192,
Progress Note,Z PREGNANCY TEST VISIT. HCDPH,168,0.008697854,97.03542977,
Progress Note,CH-Well Child 12 Months,167,0.008646081,97.04407586,
Progress Note,DCHD FP LIMITED/METHOD/PROBLEM,167,0.008646081,97.05272194,
MH  Education,MH - Maternal Health Education,166,0.008594308,97.06131624,
Progress Note,"zzGen, TB, PPD Qs/Admin",166,0.008594308,97.06991055,
Progress Note,BF-Well Child 11-14 yrs RPM,165,0.008542535,97.07845309,
H&P Note,FLU Administration Note,165,0.008542535,97.08699562,
Admit Note,CDL Physical,165,0.008542535,97.09553816,
Progress Note,z-MH Initial Provider PE.HCDPH,165,0.008542535,97.10408069,
Nerve Conduction Study,EMG - UE,163,0.008438989,97.11251968,
Progress Note,Health Risk Assessment - WCHD,163,0.008438989,97.12095867,
Child Health,BF-Well Child 12 Months,162,0.008387216,97.12934589,
Admit Note,TB Epi Record,162,0.008387216,97.1377331,
Progress Note,ZBF - WCC 6 Month,162,0.008387216,97.14612032,
Phone Encounter,LCHD Phone Encounter,161,0.008335443,97.15445576,
Nurse Progress Note,Immunization Note,161,0.008335443,97.1627912,
Progress Note,BF - WCC 15-17yr Visit,160,0.00828367,97.17107487,
Psychology,PPN OutPatient Dr. Alexander,160,0.00828367,97.17935854,
MH LABS,MH LAB DATA NCHD,159,0.008231897,97.18759044,
Progress Note,TB Risk Assessment,159,0.008231897,97.19582234,
Progress Note,Nurse New OB-WCHD,158,0.008180124,97.20400246,
Progress Note,FP.Implant Insertion.HCDPH,158,0.008180124,97.21218259,
Progress Note,MH - Immunization Only,158,0.008180124,97.22036271,
TB SKIN TEST GIVEN,TB Skin Test  NCHD,157,0.008128351,97.22849106,
Progress Note,BF - WCC 5 year Visit,157,0.008128351,97.23661941,
Progress Note,Barton TB Skin Test Reading,157,0.008128351,97.24474776,
Progress Note,B12 injection-Nurse only,157,0.008128351,97.25287612,
Progress Note,CD Encounter -HCDPH,156,0.008076578,97.26095269,
Progress Note,ZBF - WCC 4 Month,155,0.008024805,97.2689775,
Progress Note,PC - Adult PE,155,0.008024805,97.27700231,
Progress Note,ZBF - WCC 12 Month,155,0.008024805,97.28502711,
Progress Note,FP - Pill Refill - WCHD,154,0.007973033,97.29300014,
Flu vaccine,Flu Vaccine Note,154,0.007973033,97.30097318,
Family Planning,FP - Nexplanon Insertion,154,0.007973033,97.30894621,
VLab Report ,Bilat Lwr Extr Venous Insuffic,153,0.00792126,97.31686747,
Progress Note,ZBF-Well Child 18 Months,153,0.00792126,97.32478873,
Progress Note,AH-Well Women Exam,153,0.00792126,97.33270999,
Progress Note,CRHS BCCCP Referral,152,0.007869487,97.34057947,
Admit Note,zzPC Limited Note DO NOT USE,152,0.007869487,97.34844896,
Admit Note,Gaffney Medical Patient,152,0.007869487,97.35631845,
Diagnostic Test,Nuclear Exercise Test,152,0.007869487,97.36418793,
Progress Note,FP NEXPLANON CHECK,151,0.007817714,97.37200565,
Progress Note,CH-Well Child 6 Months,151,0.007817714,97.37982336,
Progress Note,WISEWOMAN LP/HC,151,0.007817714,97.38764107,
Progress Note,MNT RPM,151,0.007817714,97.39545879,
Progress Note,DOT Physical Exam,150,0.007765941,97.40322473,
Progress Note,Anxiety Follow Up,150,0.007765941,97.41099067,
Maternal,Maternal - Initial,150,0.007765941,97.41875661,
Progress Note,COLPOSCOPY PROCEDURE Visit,149,0.007714168,97.42647078,
Progress Note,Kim - Note,149,0.007714168,97.43418495,
Progress Note,WW Annual Screening Form 4049A,148,0.007662395,97.44184734,
Progress Note,MH Nutritionist,148,0.007662395,97.44950974,
Progress Note,DCHD TB SKIN PLACEMENT,147,0.007610622,97.45712036,
Progress Note,FP - Emergency Contraception,147,0.007610622,97.46473098,
BH Note,BH Progress Note - Peds,146,0.007558849,97.47228983,
Progress Note,CH-Well Child 4 Months,146,0.007558849,97.47984868,
Progress Note,CH - Well Child 2 Month,146,0.007558849,97.48740753,
Progress Note,BCCCP Cervical Cancer 2020,145,0.007507076,97.4949146,
Progress Note,BH Coaching,145,0.007507076,97.50242168,
Admit Note,PPD Shortage Screening,145,0.007507076,97.50992876,
Progress Note,RCPH Lab Only,144,0.007455303,97.51738406,
Progress Note,BCCCP Visit SCHD,144,0.007455303,97.52483936,
Progress Note,ZBF - Well Child 2 Month,144,0.007455303,97.53229466,
Progress Note,ZBF 15 Month Visit -NEW,144,0.007455303,97.53974997,
TB Epi 2,TB Epidemiological- Provider,144,0.007455303,97.54720527,
Progress Note,BCCCP-Cervical Screen Data 23,144,0.007455303,97.55466057,
Progress Note,BCHD STD VISIT,143,0.00740353,97.5620641,
Progress Note,Barton TB Skin Test,142,0.007351757,97.56941586,
Progress Note,BCCCP Data Forms,142,0.007351757,97.57676762,
Progress Note,A Telemedicine Visit,142,0.007351757,97.58411938,
Progress Note,BF Well Child 15-21yrs. ,142,0.007351757,97.59147113,
Progress Note,BF - WCC 1wk Vst 3-5days,140,0.007248211,97.59871934,
Device Note,Remote Check,140,0.007248211,97.60596756,
Progress Note,BF - WCC 9-10 yr visit,139,0.007196438,97.61316399,
CMS Programs,Chronic Care Management,139,0.007196438,97.62036043,
BH Note,BH Progress Note - Adult,139,0.007196438,97.62755687,
Admit Note,CH- School PE,139,0.007196438,97.63475331,
Progress Note,FP-Pregnancy Test 4140 NCHD,139,0.007196438,97.64194975,
Telephone encounter,DCHD RESULTS,138,0.007144665,97.64909441,
Progress Note,ZBF - WCC 9 Month,138,0.007144665,97.65623908,
Progress Note,BF Well Child 15-21yrs - WCHD,138,0.007144665,97.66338374,
Admit Note,MH - 6 BTL Soap Note,137,0.007092893,97.67047664,
Progress Note,BF-Well Child 5-6yrs.- WCHD,136,0.00704112,97.67751776,
Progress Note,zzzCH-Well Child 4yrs.,135,0.006989347,97.6845071,
BCCP,BCCCP,135,0.006989347,97.69149645,
Progress Note,CH-Well Child 18 Months,135,0.006989347,97.6984858,
VLab Report ,Iliac Duplex,135,0.006989347,97.70547514,
Progress Note,ZBF - Well Child 2 to 5 Days,134,0.006937574,97.71241272,
Progress Note,DCHD TB RESULTS NOTE,133,0.006885801,97.71929852,
Progress Note,BCCCP Care Plan,133,0.006885801,97.72618432,
Progress Note,BF-Well Child 4yrs RPM,133,0.006885801,97.73307012,
Admit Note,BCCCP Flowsheet,133,0.006885801,97.73995592,
Admit Note,IM Injection,132,0.006834028,97.74678995,
Family Planning,FP - Nexplanon Removal,132,0.006834028,97.75362398,
Progress Note,CD - TB Screening,132,0.006834028,97.760458,
Nerve Conduction Study,EMG - LE,132,0.006834028,97.76729203,
Progress Note,Pregnancy Test Counseling SCHD,131,0.006782255,97.77407429,
Progress Note,z-MH Initial HX Nurse.HCDPH,131,0.006782255,97.78085654,
Progress Note,WASH - APC PC/Physical/Sick,130,0.006730482,97.78758702,
Progress Note,UTI,130,0.006730482,97.79431751,
TB,TB Flow Sheet,129,0.006678709,97.80099621,
Progress Note,FP.Implant Removal.HCDPH,129,0.006678709,97.80767492,
Adult Health,AH-Physical,128,0.006626936,97.81430186,
BF NOTE,BF-Well Child 11-14yrs NCHD,128,0.006626936,97.8209288,
Progress Note,FP General Clinic Flowsheet,127,0.006575163,97.82750396,
Progress Note,BF - WCC 2 month visit,126,0.00652339,97.83402735,
Progress Note,zzzCH-Well Child 7-8yrs.,126,0.00652339,97.84055074,
Progress Note,FP Problem Visit,126,0.00652339,97.84707413,
Progress Note,ZBF - Well Child 1 Month,126,0.00652339,97.85359752,
Progress Note,Lead Note,126,0.00652339,97.86012091,
Progress Note,LTBI Flow Sheet,126,0.00652339,97.8666443,
Progress Note,URI,126,0.00652339,97.87316769,
Progress Note,DCHD IMMUNIZATIONS TRACKING,125,0.006471617,97.87963931,
Progress Note,ZBF-Well Child 15 Months,125,0.006471617,97.88611093,
Progress Note,FP Follow Up Visit,124,0.006419844,97.89253077,
Admit Note,TB Drug Record,124,0.006419844,97.89895061,
Progress Note,TytoCare CH Sick Note,123,0.006368071,97.90531869,
TB SKIN TEST READING,TB Skin Test Reading NCHD,123,0.006368071,97.91168676,
Admit Note,Phone Encounter,123,0.006368071,97.91805483,
Progress Note,CH-Well Child 9 Months,122,0.006316298,97.92437113,
Progress Note,FP Combined Note,122,0.006316298,97.93068743,
TB Epi,TB Epi Record Pt1,122,0.006316298,97.93700372,
H&P Note,BF-Child Health History,122,0.006316298,97.94332002,
Progress Note,PC - Pedi Interperiodic,121,0.006264526,97.94958455,
Progress Note,BCCCP  P5 Cervical Cancer,121,0.006264526,97.95584907,
Progress Note,BF - WCC 1 month visit,121,0.006264526,97.9621136,
Progress Note,ZBF Well Child 2 1/2 years NEW,121,0.006264526,97.96837812,
Psychology,PPN OutPatient Dr.O'Malley,121,0.006264526,97.97464265,
Admit Note,17P INJECTION,121,0.006264526,97.98090718,
Progress Note,FP 4060F - Female New Note,120,0.006212753,97.98711993,
Progress Note,APC - Sick Visit Note BCHD,119,0.00616098,97.99328091,
Admit Note,Psychiatric Evaluation,119,0.00616098,97.99944189,
Progress Note,BF - WCC 4 year Visit,119,0.00616098,98.00560287,
Progress Note,TB Epi Record OLD,119,0.00616098,98.01176385,
Combination Services,Immunization Note,118,0.006109207,98.01787305,
Speech Therapy,SOAP MedSLP,118,0.006109207,98.02398226,
Progress Note,Prescription Refill,117,0.006057434,98.03003969,
Admit Note,SCHD General Visit,117,0.006057434,98.03609713,
FP History ,zzzzFamily Planning Physical,116,0.006005661,98.04210279,
Progress Note,BF-Well Child 9-10yrs. - WCHD,116,0.006005661,98.04810845,
Progress Note,WW Health Coaching Note 2020,116,0.006005661,98.05411411,
VLab Report ,Rgt Lwr Extrem Arterial Duplex,116,0.006005661,98.06011977,
Progress Note,FP IUD Insertion,116,0.006005661,98.06612543,
Progress Note,BF - WCC 4 month Visit,116,0.006005661,98.07213109,
Phone Encounter,Lab Results Call,116,0.006005661,98.07813675,
Progress Note,BF Well Child 4 Year,115,0.005953888,98.08409064,
VLab Report ,Left Lwr Extre Arterial Duplex,115,0.005953888,98.09004453,
Progress Note,Pharmacy/Result Encounter,115,0.005953888,98.09599842,
TB Epi 1,TB Epidemiological- Nurse,114,0.005902115,98.10190053,
Progress Note,BF - WCC 12 month visit,114,0.005902115,98.10780265,
Progress Note,BF Well Child 5 Year,113,0.005850342,98.11365299,
Progress Note,LB Individual Therapy,113,0.005850342,98.11950333,
Progress Note,BF - WCC 6 Month Visit,113,0.005850342,98.12535367,
Progress Note,DCHD FP IV/CP,112,0.005798569,98.13115224,
Progress Note,Lice Checklist SCHD,111,0.005746796,98.13689904,
Progress Note,CD - TB DOT,111,0.005746796,98.14264584,
Progress Note,Pertussis Surveillance - DCHD,111,0.005746796,98.14839263,
Child Health,BF-Well Child 18 Months,110,0.005695023,98.15408765,
Admit Note,Covid Antibody Test,110,0.005695023,98.15978268,
Admission Note,COVID Administration Note,109,0.00564325,98.16542593,
Progress Note,BCCCP Visit WCHD,109,0.00564325,98.17106918,
Admit Note,zzz BCCCP  Screening Form 18,109,0.00564325,98.17671243,
Progress Note,BIVALENT COVID VACCINE NOTE,109,0.00564325,98.18235568,
Progress Note,BF - WCC 2 year Visit,109,0.00564325,98.18799893,
VLab Report ,Left Lwr Extrem Bypass Graft,108,0.005591477,98.19359041,
Admit Note,Telepsych Note,108,0.005591477,98.19918188,
Progress Note,Allergy Note,108,0.005591477,98.20477336,
VLab Report ,Rgt Lwr Extrem Bypass Graft ,107,0.005539704,98.21031307,
Progress Note,Colpo,107,0.005539704,98.21585277,
Combination Services,TB Skin Test,107,0.005539704,98.22139247,
Phone Encounter,Letter to Referring Provider,107,0.005539704,98.22693218,
Progress Note,BF - WCC 9 month visit,106,0.005487931,98.23242011,
Phone Encounter,BH Phone Note,106,0.005487931,98.23790804,
Progress Note,BF - Well Child 1 Month,105,0.005436159,98.2433442,
Progress Note,Adult Health Exam,105,0.005436159,98.24878036,
Progress Note,BF Well Child 3 Year,105,0.005436159,98.25421652,
Telehealth,Telemed APC - Sick/Physical,104,0.005384386,98.2596009,
MH Exam,MH Initial Physical Exam NCHD,104,0.005384386,98.26498529,
Phone Encounter,Phone Encounter Dr.Malik,103,0.005332613,98.2703179,
Child Health,BF - Well Child 6 Months,103,0.005332613,98.27565051,
Family Planning,FP - IUD Insertion,103,0.005332613,98.28098313,
Admit Note,SCHD Primary Care 2022,103,0.005332613,98.28631574,
Progress Note,Post Partum F/U Care Visit,103,0.005332613,98.29164835,
Progress Note,TB EPI RECORD,103,0.005332613,98.29698096,
Progress Note,MESH FQHC,103,0.005332613,98.30231358,
Progress Note,Rash,102,0.00528084,98.30759442,
Progress Note,FP - Nexplanon Removal,102,0.00528084,98.31287526,
Progress Note,CO - C-19 Mod Vaccine-3RD Dose,102,0.00528084,98.3181561,
MD Progress,FN Outpatient Dr. Kasuganti,102,0.00528084,98.32343694,
Progress Note,CVS Visit Note,102,0.00528084,98.32871778,
Progress Note,Pregnancy Test,101,0.005229067,98.33394684,
Progress Note,BF - WCC 3 year Visit,100,0.005177294,98.33912414,
Progress Note,CHPE 3 to 5 days Newborn,100,0.005177294,98.34430143,
Progress Note,Telehealth Visit,100,0.005177294,98.34947872,
Progress Note,TB PPD Screening Note,99,0.005125521,98.35460425,
Progress Note,DCHD Telephone Encounter,99,0.005125521,98.35972977,
Progress Note,CH -Child Health Questionnaire,99,0.005125521,98.36485529,
SICK CHILD,Child Sick/recheck Visit NCHD,98,0.005073748,98.36992903,
Progress Note,Depo Only Visit,98,0.005073748,98.37500278,
Progress Note,BF - WCC 18 month visit,98,0.005073748,98.38007653,
Progress Note,zzzCH-Well Child 9-10yrs.,98,0.005073748,98.38515028,
Progress Note,Colposcopy Form,98,0.005073748,98.39022403,
Progress Note,Maternity ACOG RECORD MCHD,98,0.005073748,98.39529777,
Progress Note,Psych- Feedback Note,98,0.005073748,98.40037152,
Progress Note,BF Well Child 5-6 Year,97,0.005021975,98.4053935,
Admit Note,APC-SICK,97,0.005021975,98.41041547,
Nurse Visit,Nurse Visit,97,0.005021975,98.41543745,
Progress Note,TB Screening,97,0.005021975,98.42045942,
Progress Note,BF-Well Child 2 1/2 years,96,0.004970202,98.42542962,
VLab Report ,Left Lwr Extrem Venous Insuffi,96,0.004970202,98.43039983,
VLab Report ,Left Lwr Extrem Venous Duplex,95,0.004918429,98.43531826,
Progress Note,ADHD Counseling F/UVisit.HCDPH,95,0.004918429,98.44023669,
MH Labs,MH Labs- LCHD,95,0.004918429,98.44515511,
Child Health,BF - Well Child 2 Month,95,0.004918429,98.45007354,
Progress Note,WISEWOMAN Screening,95,0.004918429,98.45499197,
Progress Note,TB Monthly Flow Sheet ,94,0.004866656,98.45985863,
Progress Note,TB Monthly LTBI Med Pickups,94,0.004866656,98.46472529,
TB Epidemiology Record,TB Epidemiological Record Pt 2,94,0.004866656,98.46959194,
Progress Note,Maternity-New Prenatal/Nurse,94,0.004866656,98.4744586,
Progress Note,FP-Nexplanon Insertion,94,0.004866656,98.47932525,
MH Initial Physical,MH Initial Physical Exam- LCHD,94,0.004866656,98.48419191,
Progress Note,DM HNT HLP,94,0.004866656,98.48905857,
Progress Note,BF-Well Child 7-8yrs.- WCHD,93,0.004814883,98.49387345,
Progress Note,MAT-New Maternity NCHD,92,0.00476311,98.49863656,
Progress Note,MH-Medication Encounter.HCDPH,92,0.00476311,98.50339967,
Progress Note,BF - WCC 6 Year Visit,92,0.00476311,98.50816278,
BF NOTE,BF-Well Child 5-6yrs. NCHD,91,0.004711337,98.51287412,
Progress Note,Barton TytoCare Note,91,0.004711337,98.51758546,
H&P Note,'23 SHC New Pt N'pathy w/ Exm,91,0.004711337,98.52229679,
Progress Note,SCHD IUD Removal,91,0.004711337,98.52700813,
Progress Note,BF - WCC 15 month visit,91,0.004711337,98.53171947,
Progress Note,Lab Results Follow up,91,0.004711337,98.5364308,
Progress Note,AH Clinic Note,91,0.004711337,98.54114214,
Child Health,BF-Well Child 4 Months,91,0.004711337,98.54585348,
Progress Note,WW Annual Screening 4049A 2019,90,0.004659564,98.55051304,
Progress Note,BF Well Child 2 Year,90,0.004659564,98.55517261,
Progress Note,BH Case Staffing,90,0.004659564,98.55983217,
VLab Report ,Bilateral Lwr Extr Bypas Graft,89,0.004607792,98.56443996,
VLab Report ,Rgt Lwr Extrem Venous Duplex ,89,0.004607792,98.56904776,
Admit Note,BCCCP Patient Assessment and C,89,0.004607792,98.57365555,
Child Health,BF-Well Child 9 Months,89,0.004607792,98.57826334,
Admit Note,TB SCREENING-STATE SHORTAGE,89,0.004607792,98.58287113,
Progress Note,MH-17 P Injection Note,88,0.004556019,98.58742715,
Progress Note,PC - NonProvider Visit,87,0.004504246,98.59193139,
Progress Note,Nutrition Follow Up,87,0.004504246,98.59643564,
Progress Note,OAS - HIV Testing Only,87,0.004504246,98.60093989,
Progress Note,BF-Well Child 7-8 yrs RPM,87,0.004504246,98.60544413,
Progress Note,RCPH Lab Results,87,0.004504246,98.60994838,
Progress Note,SCHD IUD Insertion,86,0.004452473,98.61440085,
Progress Note,MH 17P Administration Note,86,0.004452473,98.61885332,
Progress Note,Phone Encounter - WCHD,86,0.004452473,98.6233058,
Admit Note,BF 2022 WCC 11-14 YEARS,85,0.0044007,98.6277065,
Admit Note,SCHD COVID Testing Note,85,0.0044007,98.63210719,
Progress Note,Initial TB Mediation Visit,85,0.0044007,98.63650789,
Progress Note,BF-Well Child 9-10 yrs RPM,85,0.0044007,98.64090859,
Admit Note,BCCCP 2019 Breast Screening,84,0.004348927,98.64525752,
Progress Note,BF-Well Child 4yrs.- WCHD,84,0.004348927,98.64960645,
STD TREATMENT,STD Treatment Encounter,84,0.004348927,98.65395537,
Progress Note,Knee Pain,84,0.004348927,98.6583043,
Progress Note,COVID-19 Immunization Note,84,0.004348927,98.66265323,
VLab Report ,Rgt Lwr Extre Venous Insuffic,83,0.004297154,98.66695038,
Phone Encounter,SCHD Phone Encounter,83,0.004297154,98.67124754,
Progress Note,ZZZ BCCCP-Breast Screen Data,83,0.004297154,98.67554469,
Progress Note,TB Short Flow,83,0.004297154,98.67984184,
Child Health,BF-Well Child 15 Months,82,0.004245381,98.68408722,
Progress Note,BCCCP WISEWOMAN Annual Exam,82,0.004245381,98.68833261,
Progress Note,Nexplanon Insertion RPM,81,0.004193608,98.69252621,
VLab Report ,AVF Mapping,80,0.004141835,98.69666805,
Progress Note,BCCCP-Breast Screen Data SCHD,79,0.004090062,98.70075811,
Progress Note,Nexplanon Removal SCHD,78,0.004038289,98.7047964,
Progress Note,PC - MAT Nonprovider Visit,78,0.004038289,98.70883469,
Progress Note,Ear Pain,78,0.004038289,98.71287298,
Progress Note,CH - Problem/Follow-up Visit,78,0.004038289,98.71691127,
Progress Note,HIV Lab Only,77,0.003986516,98.72089778,
Progress Note,PC - CoCM Follow Up,77,0.003986516,98.7248843,
Progress Note,Sore Throat,77,0.003986516,98.72887082,
Progress Note,BF Well Child 12 Months,76,0.003934743,98.73280556,
Progress Note,Nexplanon Insertion SCHD,76,0.003934743,98.7367403,
Admit Note,Jessica- New Patient Visit,76,0.003934743,98.74067505,
Progress Note,FP Female Flow MCHD 2020,76,0.003934743,98.74460979,
Progress Note,BF Well Child 4 Month,76,0.003934743,98.74854453,
Progress Note,Prenatal MNT RPM,75,0.00388297,98.7524275,
CH History,CH Initial Hx Questionnaire,75,0.00388297,98.75631047,
Progress Note,Emergency Contraception - HC,75,0.00388297,98.76019344,
Progress Note,BF-Well Child 2 years - WCHD,75,0.00388297,98.76407641,
MH Education,MH Education NCHD,74,0.003831197,98.76790761,
Progress Note,BF - WCC 7 year Visit,74,0.003831197,98.77173881,
Progress Note,Follow-Up 1,74,0.003831197,98.77557001,
Phone Encounter,Phone Triage GVPH,73,0.003779425,98.77934943,
Progress Note,TB Reading,73,0.003779425,98.78312886,
Progress Note,Mental Health Injections,73,0.003779425,98.78690828,
Progress Note,Blank Note,73,0.003779425,98.79068771,
Progress Note,Tuberculosis Test/ Result,72,0.003727652,98.79441536,
Encounter Note,LCHD PPD Skin Test Note,72,0.003727652,98.79814301,
Progress Note,ZBF Well Child 12 Months.HCDPH,71,0.003675879,98.80181889,
Encounter Note,LCHD STD Visit,71,0.003675879,98.80549477,
